solar,load,grid
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.242716275,0,1
0.802124679,0,1
1.343530603,0,1
1.787390369,2.739726027,1
2.081715921,2.739726027,1
2.200471402,2.739726027,1
2.128250018,2.739726027,1
1.880377231,2.739726027,1
1.470677326,0,1
0.94508951,0,1
0.341654389,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.244368497,0,1
0.811624374,0,1
1.359590385,0,1
1.806652348,2.739726027,1
2.106118146,2.739726027,1
2.226142422,2.739726027,1
2.153535287,2.739726027,1
1.901858439,2.739726027,1
1.490364561,0,1
0.951798321,0,1
0.348207506,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.248888288,0,1
0.811721973,0,1
1.355823505,0,1
1.800313021,2.739726027,1
2.096767174,2.739726027,1
2.214618698,2.739726027,1
2.142827217,2.739726027,1
1.888378075,2.739726027,1
1.476289304,0,1
0.948479934,0,1
0.37089709,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.233086447,0,1
0.789104427,0,1
1.321561396,0,1
1.754922233,2.739726027,1
2.042064919,2.739726027,1
2.155394328,2.739726027,1
2.085210916,2.739726027,1
1.838383839,2.739726027,1
1.436333884,0,1
0.803879148,0,1
0.309084007,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.208040065,0,1
0.71640434,0,1
1.246407376,0,1
1.089490449,2.739726027,1
2.007180032,2.739726027,1
1.941126013,2.739726027,1
1.818099387,2.739726027,1
1.66518172,2.739726027,1
1.345533718,0,1
0.911984653,0,1
0.264183541,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.242007516,0,1
0.790428993,0,1
1.323724854,0,1
1.759479206,2.739726027,1
2.04740966,2.739726027,1
2.161224742,2.739726027,1
2.091173787,2.739726027,1
1.844100387,2.739726027,1
1.439907889,0,1
0.926461928,0,1
0.373839021,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.231193712,0,1
0.554526099,0,1
1.274629929,0,1
1.742171542,2.739726027,1
2.028096557,2.739726027,1
2.141179642,2.739726027,1
2.073726696,2.739726027,1
1.828307841,2.739726027,1
1.42970873,0,1
0.919776355,0,1
0.359222318,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.233790559,0,1
0.794790765,0,1
1.327542858,0,1
1.764294119,2.739726027,1
2.054876029,2.739726027,1
2.072283616,2.739726027,1
2.022391628,2.739726027,1
1.808509064,2.739726027,1
1.455121808,0,1
0.939493799,0,1
0.384925871,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.256645133,0,1
0.808698709,0,1
1.34990711,0,1
1.791817208,2.739726027,1
2.085780247,2.739726027,1
2.205827762,2.739726027,1
2.136964269,2.739726027,1
1.885645286,2.739726027,1
1.479995765,0,1
0.959557489,0,1
0.384695815,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.241461423,0,1
0.822736786,0,1
1.368288369,0,1
1.749577493,2.739726027,1
2.106919857,2.739726027,1
2.225756671,2.739726027,1
2.154139476,2.739726027,1
1.903519956,2.739726027,1
1.491340557,0,1
0.964521126,0,1
0.390930571,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
